pattern_id,point_index,x,z
pat_06,17,1.9144818961822985,-0.534288617
pat_06,18,2.2740792092272937,0.040634611
pat_06,19,2.496283043178295,0.6813924369293509
pat_06,20,2.5734959915369884,1.3552398472507723
pat_06,21,2.5053814980098594,2.030125538
pat_06,22,2.298097283103639,2.6760483544831755
pat_06,23,1.9633111634745686,3.2661069716534867
pat_06,24,1.5172253930082238,3.777302042
pat_06,25,0.9794721467566103,4.1910548887177175
pat_06,26,0.3720679690856679,4.493518244
pat_06,27,-0.281625494,4.675612720875785
pat_06,28,-0.957809719,4.733012896241645
pat_06,29,-1.633120993,4.665797999646415
pat_06,30,-2.285358108,4.478204972
pat_06,31,-2.894081859,4.1780406026775445
pat_06,32,-3.44114253,3.7762915102719354
pat_06,33,-3.911037907,3.286486422838167
pat_06,34,-4.291189623,2.724144517362159
pat_06,35,-4.572037211,2.106165261557973
pat_06,36,-4.747214004,1.450334696117363
pat_06,37,-4.813407635,0.7747255347722937
pat_06,38,-4.770232462,0.097236875
pat_06,39,-4.620191384,-0.564854767
pat_06,40,-4.368302741,-1.195294357
pat_06,41,-4.021850298,-1.779156318
pat_06,42,-3.590163664,-2.303170689
pat_06,43,-3.084177298,-2.755876314
pat_06,44,-2.516169892,-3.12783284
pat_06,45,-1.899370195,-3.41166499
pat_06,46,-1.247661326,-3.602178681
pat_06,47,-0.575217666,-3.69628694
pat_06,48,0.10378349527834646,-3.693029466
pat_06,49,0.775459374,-3.593427152
pat_06,50,1.4264866510248786,-3.400428496
pat_06,51,2.044319591188292,-3.118678477
pat_06,52,2.617407164437253,-2.754420271
pat_06,53,3.1353800706875057,-2.315296544
pat_06,54,3.5891543765329392,-1.810096115
pat_06,55,3.9710714678941303,-1.248587755
pat_06,56,4.274926178134098,-0.641267279
pat_06,57,4.496056463723644,0.00082157
pat_06,58,4.631364595161716,0.6663120880193741
pat_06,59,4.679306169690847,1.3437335247825395
pat_07,0,-0.318588024,0.1491654292894218
pat_07,1,0.052900169,0.604217146
pat_07,2,0.428117586,1.0561943193394105
pat_07,3,0.8111385148854712,1.5015664488188938
pat_07,4,1.206793675,1.9357283825963576
pat_07,5,1.6212629156370082,2.3519093490502603
pat_07,6,2.062942994574387,2.738939427
pat_07,7,2.543434237612778,3.0760892708125342
pat_07,8,3.0760666514418897,3.320569883539733
pat_07,9,3.6557270816403724,3.3869229634759264
pat_07,10,4.2033146196102615,3.1904034855783285
pat_07,11,4.626359748290352,2.7869378985469457
pat_07,12,4.927293887762898,2.2837090237465927
pat_07,13,5.136602029359736,1.7353824185724167
pat_07,14,5.274179633383323,1.1646201037624504
pat_07,15,5.349196431576309,0.5822651851418548
pat_07,16,5.362823951,-0.004725378
pat_07,17,5.308521549148279,-0.589246822
pat_07,18,5.169384386663717,-1.159220013
pat_07,19,4.912721188483441,-1.685683618
pat_07,20,4.496246835936568,-2.093721932
pat_07,21,3.9419620219628815,-2.271062223
pat_07,22,3.3592589600491825,-2.219106559
pat_07,23,2.8041360821987222,-2.029365066
pat_07,24,2.280120016451479,-1.764488505
pat_07,25,1.7803343565465588,-1.456007683
pat_07,26,1.2981246910151076,-1.120606057
pat_07,27,0.8282183561467544,-0.768128323
pat_07,28,0.36642485781096745,-0.405066144
pat_07,29,-0.090750511,-0.03619657
pat_07,30,-0.546425537,0.33452742902059807
pat_07,31,-1.003600907,0.703397003
pat_07,32,-1.465394405,1.0664591816466513
pat_07,33,-1.93530074,1.418936915621668
pat_07,34,-2.417510406,1.7543385411203072
pat_07,35,-2.917296065,2.062819363763666
pat_07,36,-3.441312131,2.327695925029005
pat_07,37,-3.996435009,2.517437418071566
pat_07,38,-4.579138071,2.5693930814376813
pat_07,39,-5.133422885,2.3920527901835413
pat_07,40,-5.549897237,1.9840144764368641
pat_07,41,-5.806560436,1.4575508717018884
pat_07,42,-5.945697598,0.8875776802894533
pat_07,43,-6,0.3030562360945425
pat_07,44,-5.986372481,-0.283934327
pat_07,45,-5.911355682,-0.866289245
pat_07,46,-5.773778078,-1.43705156
pat_07,47,-5.564469937,-1.985378165
pat_07,48,-5.263535797,-2.48860704
pat_07,49,-4.840490669,-2.892072627
pat_07,50,-4.292903131,-3.088592105
pat_07,51,-3.7132427,-3.022239025
pat_07,52,-3.180610287,-2.777758412
pat_07,53,-2.700119044,-2.440608568
pat_07,54,-2.258438965,-2.05357849
pat_07,55,-1.843969724,-1.637397524
pat_07,56,-1.448314564,-1.20323559
pat_07,57,-1.065293635,-0.757863461
pat_07,58,-0.690076218,-0.305886288
pat_07,59,-0.318588024,0.1491654292894203
pat_08,0,4.748830082326225,1.2306962179410528
pat_08,1,4.634637221711908,1.7944330862918993
pat_08,2,4.461170523155894,2.342838294873948
pat_08,3,4.230395405875105,2.8696984360589277
pat_08,4,3.9449265749983606,3.3690442052448573
pat_08,5,3.607998398162569,3.8352180294818763
pat_08,6,3.2234282618795205,4.262938164424768
pat_08,7,2.795573322804933,4.647358533468224
pat_08,8,2.3292811438675662,4.984123631155912
pat_08,9,1.829833149809928,5.269414634686772
pat_08,10,1.3028894033754548,5.499999483935388
pat_08,11,0.7544216602113286,5.6732679877746754
pat_08,12,0.19064406160317954,5.787257052117553
pat_08,13,-0.382055798,5.840675202058706
pat_08,14,-0.957189239,5.832917213315593
pat_08,15,-1.528240008,5.7640709690407075
pat_08,16,-2.088738107,5.634916464
pat_08,17,-2.63233275,5.4469161315095995
pat_08,18,-3.152862589,5.202196077369556
pat_08,19,-3.644431553,4.903534249964269
pat_08,20,-4.101470196,4.554314520483906
pat_08,21,-4.518800297,4.158493563966705
pat_08,22,-4.891693517,3.7205560322174076
pat_08,23,-5.215924978,3.2454637452196247
pat_08,24,-5.487821123,2.738599476646083
pat_08,25,-5.704301335,2.2057059703115502
pat_08,26,-5.862908435,1.6528198652910893
pat_08,27,-5.96184773,1.086207069877178
pat_08,28,-6,0.5122878973632823
pat_08,29,-5.976933015,-0.062435156
pat_08,30,-5.892908141,-0.631450487
pat_08,31,-5.748877379,-1.188311163
pat_08,32,-5.546472577,-1.726707958
pat_08,33,-5.287986947,-2.240540832
pat_08,34,-4.976347613,-2.723986986
pat_08,35,-4.615083717,-3.171566664
pat_08,36,-4.208292346,-3.57821108
pat_08,37,-3.760582469,-3.939312988
pat_08,38,-3.277026647,-4.250781128
pat_08,39,-2.763103563,-4.509086579
pat_08,40,-2.224635952,-4.711302734
pat_08,41,-1.667724634,-4.855138464
pat_08,42,-1.098679394,-4.938964068
pat_08,43,-0.523947569,-4.961824316
pat_08,44,0.049957948,-4.923464669
pat_08,45,0.6165347372523936,-4.824320691
pat_08,46,1.169363499149539,-4.665515713
pat_08,47,1.7021806970982827,-4.448849007
pat_08,48,2.2089495204186957,-4.1767754
pat_08,49,2.683928277698636,-3.852377466
pat_08,50,3.121735446936517,-3.479330596
pat_08,51,3.5174085782486193,-3.061859605
pat_08,52,3.8664633513592794,-2.604694544
pat_08,53,4.1649475166041405,-2.113017748
pat_08,54,4.409479287044636,-1.592399926
pat_08,55,4.597288141889808,-1.048739678
pat_08,56,4.726246214661399,-0.488196668
pat_08,57,4.794892400634453,0.082878164
pat_08,58,4.802448910444477,0.6580145546894819
pat_08,59,4.748830082326225,1.2306962179410514
pat_09,0,1.398308475406401,-0.851258378
pat_09,1,0.9954137166100978,-0.272738258
pat_09,2,0.5695633230837902,0.2890171256233821
pat_09,3,0.10050491834043304,0.8148512429875995
pat_09,4,-0.458228986,1.2400206686456077
pat_09,5,-1.122099449,1.2125685179835788
pat_09,6,-1.490931854,0.6220450406778516
pat_09,7,-1.663991027,-0.060548906
pat_09,8,-1.754835989,-0.759471168
pat_09,9,-1.797693732,-1.463088198
pat_09,10,-1.805725152,-2.167996103
pat_09,11,-1.782589898,-2.872567911
pat_09,12,-1.719670549,-3.574596596
pat_09,13,-1.481162621,-3.869308266
pat_09,14,-1.345186911,-3.177925945
pat_09,15,-1.240255889,-2.480769379
pat_09,16,-1.134289003,-1.783769769
pat_09,17,-1.015536607,-1.08885063
pat_09,18,-0.872641513,-0.398532353
pat_09,19,-0.688091267,0.28169992527862664
pat_09,20,-0.424510173,0.9346512631697009
pat_09,21,0.026142054349987315,1.4648377340338246
pat_09,22,0.6958125773401871,1.4257471837850804
pat_09,23,1.2246386205351594,0.9641423486192054
pat_09,24,1.6507550608061337,0.403054623
pat_09,25,2.0233900298793515,-0.195271332
pat_09,26,2.3628086724705772,-0.813136862
pat_09,27,2.679095230467558,-1.443188037
pat_09,28,2.9778719472854682,-2.081741305
pat_09,29,3.261983926856071,-2.72695642
pat_09,30,3.2684763199250257,-2.780348344
pat_09,31,2.974879594228752,-2.139383236
pat_09,32,2.6701994880897004,-1.50362055
pat_09,33,2.3498298791881274,-0.875630909
pat_09,34,2.007893068665382,-0.259148172
pat_09,35,1.6347033682773264,0.33885023405209747
pat_09,36,1.2114873561040833,0.9022117380364006
pat_09,37,0.6939695055471669,1.3774607378305426
pat_09,38,0.026691644766098546,1.4844595232184852
pat_09,39,-0.453761327,0.9855264229806205
pat_09,40,-0.727397824,0.3369468218831396
pat_09,41,-0.91473321,-0.342490143
pat_09,42,-1.057160242,-1.032895132
pat_09,43,-1.173334252,-1.728245407
pat_09,44,-1.274719314,-2.425923889
pat_09,45,-1.372160246,-3.12416928
pat_09,46,-1.490804867,-3.818938339
pat_09,47,-1.708906464,-3.618745361
pat_09,48,-1.76392226,-2.916044844
pat_09,49,-1.780613699,-2.211285879
pat_09,50,-1.76740304,-1.506451592
pat_09,51,-1.720677505,-0.803074137
pat_09,52,-1.627970676,-0.104377332
pat_09,53,-1.457775688,0.5790512948852155
pat_09,54,-1.109636595,1.1844179973835147
pat_09,55,-0.462696292,1.267548410309674
pat_09,56,0.0025549,0.7378467131744403
pat_09,57,0.46780609172589704,0.20814501603920688
pat_09,58,0.9330572835661475,-0.321556681
pat_09,59,1.398308475406401,-0.851258378
pat_10,0,0.22022613060210172,0.16159234530754624
pat_10,1,0.5334920428793903,0.6712573490071836
pat_10,2,0.8509388292813045,1.178324668834503
pat_10,3,1.177157466725064,1.679783186606851
pat_10,4,1.5176481184481219,2.1716396453689515
pat_10,5,1.8795662762365837,2.6478978453146436
pat_10,6,2.2729014433126857,3.0984218979813476
pat_10,7,2.712172596014769,3.5038615195447194
pat_10,8,3.216635202428173,3.822835232260529
pat_10,9,3.7927140447252223,3.968393363583605
pat_10,10,4.372058410964617,3.844275563145859
pat_10,11,4.853753104250349,3.4943944158218696
pat_10,12,5.225721339433355,3.027263453367529
pat_10,13,5.511321754680717,2.5021916953619505
pat_10,14,5.7275633127896075,1.9447500775702842
pat_10,15,5.882231376156237,1.367126132082705
pat_10,16,5.975565249742236,0.776500622
pat_10,17,6,0.17915794319188835
pat_10,18,5.936835313704612,-0.415001762
pat_10,19,5.749148255987821,-0.981178661
pat_10,20,5.384102349,-1.449489992
pat_10,21,4.84868281,-1.703631742
pat_10,22,4.253493647542055,-1.730188629
pat_10,23,3.667462462129606,-1.613933695
pat_10,24,3.102642465206115,-1.417624746
pat_10,25,2.556367697884725,-1.174019327
pat_10,26,2.0241833951602413,-0.900858867
pat_10,27,1.5021023050568347,-0.60879483
pat_10,28,0.9867748778144351,-0.304947622
pat_10,29,0.47532139650421223,0.005387306
pat_10,30,-0.034869135,0.31779738437274613
pat_10,31,-0.546322617,0.6281323130960136
pat_10,32,-1.061650044,0.931979521
pat_10,33,-1.583731134,1.2240435573697965
pat_10,34,-2.115915437,1.4972040175833183
pat_10,35,-2.662190204,1.7408094362182367
pat_10,36,-3.227010201,1.9371183852668743
pat_10,37,-3.813041386,2.053373319143887
pat_10,38,-4.408230549,2.026816432477731
pat_10,39,-4.943650088,1.772674682808669
pat_10,40,-5.308695995,1.304363351733015
pat_10,41,-5.496383053,0.7381864523063395
pat_10,42,-5.559547739,0.1440267474231808
pat_10,43,-5.535112989,-0.453315931
pat_10,44,-5.441779115,-1.043941441
pat_10,45,-5.287111052,-1.621565387
pat_10,46,-5.070869493,-2.179007005
pat_10,47,-4.785269078,-2.704078763
pat_10,48,-4.413300843,-3.171209725
pat_10,49,-3.93160615,-3.521090873
pat_10,50,-3.352261784,-3.645208673
pat_10,51,-2.776182941,-3.499650542
pat_10,52,-2.271720335,-3.180676829
pat_10,53,-1.832449182,-2.775237207
pat_10,54,-1.439114015,-2.324713155
pat_10,55,-1.077195857,-1.848454955
pat_10,56,-0.736705206,-1.356598496
pat_10,57,-0.410486568,-0.855139978
pat_10,58,-0.093039782,-0.348072658
pat_10,59,0.22022613060210064,0.16159234530754452
pat_11,0,1.0215854064471297,3.5208809980528084
pat_11,1,1.6104585949971757,3.9201867180917143
pat_11,2,2.1481922478487556,4.386672469302428
pat_11,3,2.139645454519001,4.307372986630636
pat_11,4,1.675716654939434,3.7671027441227696
pat_11,5,1.1972127504475274,3.239710656872729
pat_11,6,0.7006653172000137,2.729296715
pat_11,7,0.18124946286700783,2.242228988781375
pat_11,8,-0.36844981,1.7897726922451567
pat_11,9,-0.963174898,1.3992629474587455
pat_11,10,-1.288420421,1.434065387523683
pat_11,11,-1.388904256,1.986810087505936
pat_11,12,-1.952259404,2.4221653287497538
pat_11,13,-2.531992776,2.8357343916665463
pat_11,14,-3.120711353,3.2363907171007984
pat_11,15,-3.727869566,3.6081930542085185
pat_11,16,-4.39452498,3.798273624301355
pat_11,17,-4.420478159,3.130799160344052
pat_11,18,-4.186723297,2.4583800879633984
pat_11,19,-3.9176641,1.7990446702921497
pat_11,20,-3.638121797,1.144062489
pat_11,21,-3.357802196,0.48941151228172797
pat_11,22,-3.083028286,-0.167581569
