X,Z,Y,Potential
6.250000,-12.083330,0.000000,0.000000
6.458333,-12.083330,0.000000,0.000000
6.666666,-12.083330,0.000000,0.000000
6.875000,-12.083330,0.000000,0.000000
7.083334,-12.083330,0.000000,0.000000
7.291667,-12.083330,0.000000,0.000000
7.500000,-12.083330,0.000000,0.000000
7.708333,-12.083330,0.000000,0.000000
7.916667,-12.083330,0.000000,0.000000
8.125000,-12.083330,0.000000,0.000000
8.333333,-12.083330,0.000000,0.000000
8.541666,-12.083330,0.000000,0.000000
8.750001,-12.083330,0.000000,0.000000
8.958334,-12.083330,0.000000,0.000000
9.166667,-12.083330,0.000000,0.000000
9.375000,-12.083330,0.000000,0.000000
9.583333,-12.083330,0.000000,0.000000
9.791666,-12.083330,0.000000,0.000000
9.999999,-12.083330,0.000000,0.000000
10.208330,-12.083330,0.000000,0.000000
10.416670,-12.083330,0.000000,0.000000
10.625000,-12.083330,0.000000,0.000000
10.833330,-12.083330,0.000000,0.000000
11.041670,-12.083330,0.000000,0.000000
11.250000,-12.083330,0.000000,0.000000
11.458330,-12.083330,0.000000,0.000000
11.666670,-12.083330,0.000000,0.000000
11.875000,-12.083330,0.000000,0.000000
12.083330,-12.083330,0.000000,0.000000
12.291670,-12.083330,0.000000,0.000000
12.500000,-12.083330,0.000000,0.000000
-12.500000,-11.875000,0.000000,0.000000
-12.291670,-11.875000,0.000000,0.000000
-12.083330,-11.875000,0.000000,0.000000
-11.875000,-11.875000,0.000000,0.000000
-11.666670,-11.875000,0.000000,0.000000
-11.458330,-11.875000,0.000000,0.000000
-11.250000,-11.875000,0.000000,0.000000
-11.041670,-11.875000,0.000000,0.000000
-10.833330,-11.875000,0.000000,0.000000
-10.625000,-11.875000,0.000000,0.000000
-10.416670,-11.875000,0.000000,0.000000
-10.208330,-11.875000,0.000000,0.000000
-10.000000,-11.875000,0.000000,0.000000
-9.791667,-11.875000,0.000000,0.000000
-9.583333,-11.875000,0.000000,0.000000
-9.375000,-11.875000,0.000000,0.000000
-9.166666,-11.875000,0.000000,0.000000
-8.958333,-11.875000,0.000000,0.000000
-8.750000,-11.875000,0.000000,0.000000
-8.541667,-11.875000,0.000000,0.000000
-8.333333,-11.875000,0.000000,0.000000
-8.125000,-11.875000,0.000000,0.000000
